,reviews
1026,"4 1/2 stars booked and received nothing dafr. We have been prescribed a habitual, filthy apartment. Adjoining house with a view of parking. No trace of idyll. Not of more than four stars. It all had the charm of a youth hostel of the nineties. Caution: no one who doesn't really like it should book the apartments. There is little cleaning before moving in and not at all during the stay. In the hallway there are brooms and luxurises toilet paper in the broom cupboard. One or two layer. For self-service. True luxury. Bathrobe and slippers are also in vain. That really demands too much. Just because the hotel is still four seasons at the broom cupboard and because you check in in the lobby of that hotel, and also very quickly out again, does not mean that the accommodation in the adjoining stall also has to flare up the fr 4 star laws. Even if the apartments bear Mozart and other sonic names, one should rather not expect anything, then one is not too much uncovered. Starting from the name Mozart: it must have been Mozart's last years, in the sloping, fashionable hole in a dark valley of Vienna."
1027,Excellent hotel in a beautiful location and good facilities.
1028,"Room a bit accustomed but still ok., service and frhstcksbuffet very good."
1029,A very relaxing long weekend in Khlungsborn. The hotel is located directly on the seafront promenade and the centre is just a few minutes away. The place offers a lot and looks very well maintained throughout. We will go there again.
1030,"very snow apartment in a quiet location fr small family with kitchen and extra children's room, so that self-catering is well possible the Frhstck was rich and always fresh with questions or snares was always reacted immediately by the staff - top"
1031,Very good Frhstcksbfett in a very pleasant atmosphere and attentive and friendly staff
1032,"VERY FRIENDLY AND HELPFUL WITH DIRECTIONS, KNOWING ALL THE RIGHT PLACES TO VISIT AND WHERE TO EAT TH BEST FOOD IN THE AREA. The Front Desk Receptionists were extremely helpful .. especially Sabrina who made us feel very welcomed to Lido.... We will be back next year for sure!"
1033,"Nice hotel with a large apartment and 2 balconies on the 2nd floor without elevator. Mngel: Cleanliness of the balconies (table with stains), frame of the balcony heavily soiled (red wine stains and lots of deck) shower curtain no cabin. An inappropriate scent in the bathroom that apparently comes from the lfter. heavily scratched wooden floor swimming pool is in the main house, which can only be reached via the street. Frhstck I have already been offered better in a 4**** house. Was ok, but not worth 18."
1034,"Very snowy house , nice attentive service , very good food including Frhstcksbffet , but balcony not usable , as the de-tling of the kche ends exactly at the balcony :-("
1035,"We stayed 4 days in the hotel and have felt very comfortable. We also found the location of the hotel very good, you are quickly on the beach and the shopping facilities are not far away."
1036,We've been very comfortable. Our room was clean and very nicely furnished. We were on the beach and then off to the sauna or the pool despite the not so snowy weather. It was very relaxing. Since we were there from Monday to Thursday it was not so crowded and that was very pleasant. There are enough shops and you can also just walk along the promenade.
1037,"We enjoyed the stay from 3rd to 8th May 2015 very much. The atmosphere in the hotel was very pleasant. Unfortunately, we only learned too spt that it was possible to get both a cupboard and a hot water heater, because these were the things we missed in a double room de Luxe. Our room was accessible by elevator as if you were looking for it and also had a balcony. Should we plan to stay at this hotel again, we would take a room to the east, depending on the season, as there is no air conditioning and it could get quite warm in the room in hot weather in The Sd or West."
